
============  19-07-25 14:40:04  ==============
07-25 14:40:06.189   217   217 I boot_progress_start: 4013
07-25 14:40:07.379   217   217 I boot_progress_preload_start: 5205
07-25 14:40:08.639   217   217 I boot_progress_preload_end: 6466
07-25 14:40:09.019   624   624 I boot_progress_system_run: 6840
07-25 14:40:09.249   624   624 I boot_progress_pms_start: 7078
07-25 14:40:09.469   624   624 I boot_progress_pms_system_scan_start: 7295
07-25 14:40:10.159   624   624 I boot_progress_pms_data_scan_start: 7986
07-25 14:40:10.189   624   624 I boot_progress_pms_scan_end: 8011
07-25 14:40:10.419   624   624 I boot_progress_pms_data_scan_start: 8241
07-25 14:40:10.419   624   624 I boot_progress_pms_ready: 8241
07-25 14:40:10.729   624   636 I battery_status: [3,2,1,0,Li-ion]
07-25 14:40:10.729   624   636 I battery_level: [92,4054,200]
07-25 14:40:10.729   624   645 I screen_toggled: 1
07-25 14:40:10.739   624   624 I wm_stack_created: [0,-1,6,100]
07-25 14:40:10.779   624   624 I configuration_changed: 7672
07-25 14:40:10.779   624   624 I configuration_changed: 1024
07-25 14:40:10.809   624   662 I configuration_changed: 8
07-25 14:40:11.369   624   624 I backup_data_changed: com.android.providers.userdictionary
07-25 14:40:11.389   624   624 I backup_data_changed: com.android.sharedstoragebackup
07-25 14:40:11.389   624   624 I backup_data_changed: android
07-25 14:40:11.399   624   624 I backup_data_changed: com.android.dialer
07-25 14:40:11.399   624   624 I backup_data_changed: com.android.providers.settings
07-25 14:40:11.409   624   624 I am_create_service: [0,1098843536,.LocalTransportService,1000,624]
07-25 14:40:11.409   624   624 I backup_data_changed: com.android.providers.userdictionary
07-25 14:40:11.409   624   624 I backup_data_changed: com.android.sharedstoragebackup
07-25 14:40:11.409   624   624 I backup_data_changed: android
07-25 14:40:11.409   624   624 I backup_data_changed: com.android.dialer
07-25 14:40:11.409   624   624 I backup_data_changed: com.android.providers.settings
07-25 14:40:11.459   624   624 I am_fork_process_time: [0,Fork .keyguard takes: 5ms]
07-25 14:40:11.459   624   624 I am_proc_start: [0,689,10017,com.android.systemui,service,com.android.keyguard/.KeyguardService]
07-25 14:40:11.469   624   682 I am_proc_bound: [0,689,com.android.systemui]
07-25 14:40:11.469   624   682 I am_create_service: [0,1098876656,.KeyguardService,10017,689]
07-25 14:40:11.489   624   624 I am_wtf  : [0,624,system_server,-1,SystemServer,Unable to find app for caller android.app.ActivityThread$ApplicationThread@41a43930 (pid=624) when registering receiver android.app.LoadedApk$ReceiverDispatcher$InnerReceiver@419781a8]
07-25 14:40:11.519   624   624 I am_fork_process_time: [0,Fork .phone takes: 10ms]
07-25 14:40:11.519   624   624 I am_proc_start: [0,704,1001,com.android.phone,added application,com.android.phone]
07-25 14:40:11.519   624   624 I boot_progress_ams_ready: 9349
07-25 14:40:11.529   624   624 I am_create_service: [0,1100084224,.SystemUIService,10017,689]
07-25 14:40:11.529   624   635 I am_proc_bound: [0,704,com.android.phone]
07-25 14:40:11.939   624   640 I am_fork_process_time: [0,Fork .media takes: 10ms]
